Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
55,18-Apr-10,"Feroz Shah Kotla, Delhi",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,145.0,7.0,134.0,7.0,Deccan Chargers,Runs,11.0,Andrew Symonds
56,19-Apr-10,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Group,133.0,8.0,135.0,1.0,Kolkata Knight Riders,Wickets,9.0,Murali Kartik
57,21-Apr-10,"DY Patil Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Playoff,184.0,5.0,149.0,9.0,Mumbai Indians,Runs,35.0,Kieron Pollard
58,22-Apr-10,"DY Patil Stadium, Mumbai",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Bat,Playoff,142.0,7.0,104.0,10.0,Chennai Super Kings,Runs,38.0,Doug Bollinger
59,24-Apr-10,"DY Patil Stadium, Mumbai",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,Bat,Playoff,82.0,10.0,86.0,1.0,Royal Challengers Bangalore,Wickets,9.0,Anil Kumble
60,25-Apr-10,"DY Patil Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Final,168.0,5.0,146.0,9.0,Chennai Super Kings,Runs,22.0,Suresh Raina
1,08-04-2011,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Group,153.0,4.0,151.0,7.0,Chennai Super Kings,Runs,2.0,Srikkanth Anirudha
2,09-04-2011,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Field,Group,137.0,8.0,141.0,2.0,Rajasthan Royals,Wickets,8.0,Siddharth Trivedi
3,09-04-2011,"Jawaharlal Nehru Stadium, Kochi",Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,Bat,Group,161.0,5.0,162.0,4.0,Royal Challengers Bangalore,Wickets,6.0,AB de Villiers
4,10-04-2011,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Group,95.0,10.0,99.0,2.0,Mumbai Indians,Wickets,8.0,Lasith Malinga
5,10-04-2011,"DY Patil Stadium, Mumbai",Kings XI Punjab,Pune Warriors India,Kings XI Punjab,Bat,Group,112.0,8.0,113.0,3.0,Pune Warriors India,Wickets,7.0,Shrikant Wagh
6,11-04-2011,"Eden Gardens, Kolkata",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Bat,Group,163.0,4.0,154.0,8.0,Kolkata Knight Riders,Runs,9.0,Jacques Kallis
7,12-04-2011,"Sawai Mansingh Stadium, Jaipur",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Bat,Group,151.0,6.0,152.0,4.0,Rajasthan Royals,Wickets,6.0,Shane Warne
8,12-04-2011,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,140.0,4.0,143.0,1.0,Mumbai Indians,Wickets,9.0,Sachin Tendulkar
9,13-04-2011,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Group,188.0,4.0,193.0,4.0,Kings XI Punjab,Wickets,6.0,Paul Valthaty
